"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"04301099999","2017-01-01T22:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0180,1","-0228,1","10148,1","99999,9,10143,1",,"SYN04204301 46/// /2305 11180 21228 30143 40148=",
"04301099999","2017-01-01T23:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","290,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0176,1","-0197,1","10141,1","99999,9,10136,1",,"SYN04204301 46/// /2905 11176 21197 30136 40141=",
"04301099999","2017-01-02T00:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","170,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0162,1","-0208,1","10129,1","99999,9,10124,1",,"SYN04204301 46/// /1707 11162 21208 30124 40129=",
"04301099999","2017-01-02T01:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0169,1","-0225,1","10122,1","99999,9,10117,1",,"SYN04204301 46/// /2806 11169 21225 30117 40122=",
"04301099999","2017-01-02T02:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","200,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0154,1","-0233,1","10114,1","99999,9,10109,1",,"SYN04204301 46/// /2010 11154 21233 30109 40114=",
"04301099999","2017-01-02T03:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0171,1","-0229,1","10107,1","99999,9,10102,1",,"SYN04204301 46/// /2610 11171 21229 30102 40107=",
"04301099999","2017-01-02T06:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0153,1","-0216,1","10086,1","99999,9,10081,1",,"SYN04204301 46/// /2603 11153 21216 30081 40086=",
"04301099999","2017-01-02T07:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0174,1","-0252,1","10082,1","99999,9,10077,1",,"SYN04204301 46/// /2306 11174 21252 30077 40082=",
"04301099999","2017-01-02T08:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","330,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0195,1","-0269,1","10084,1","99999,9,10079,1",,"SYN04204301 46/// /3305 11195 21269 30079 40084=",
"04301099999","2017-01-02T09:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0166,1","-0222,1","10086,1","99999,9,10081,1",,"SYN04204301 46/// /2605 11166 21222 30081 40086=",
"04301099999","2017-01-02T10:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","250,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0170,1","-0214,1","10086,1","99999,9,10081,1",,"SYN04204301 46/// /2503 11170 21214 30081 40086=",
"04301099999","2017-01-02T11:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0031,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10090,1","99999,9,10085,1",,"SYN03604301 46/// /2806 29069 30085 40090=",
"04301099999","2017-01-02T12:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0205,1","-0241,1","10095,1","99999,9,10090,1",,"SYN04204301 46/// /2812 11205 21241 30090 40095=",
"04301099999","2017-01-02T13:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0199,1","-0237,1","10104,1","99999,9,10099,1",,"SYN04204301 46/// /2713 11199 21237 30099 40104=",
"04301099999","2017-01-02T14:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0211,1","-0251,1","10110,1","99999,9,10105,1",,"SYN04204301 46/// /2710 11211 21251 30105 40110=",
"04301099999","2017-01-02T15:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0225,1","-0254,1","10118,1","99999,9,10113,1",,"SYN04204301 46/// /2611 11225 21254 30113 40118=",
"04301099999","2017-01-02T16:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0222,1","-0263,1","10119,1","99999,9,10114,1",,"SYN04204301 46/// /2613 11222 21263 30114 40119=",
"04301099999","2017-01-02T17:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0221,1","-0269,1","10125,1","99999,9,10120,1",,"SYN04204301 46/// /2713 11221 21269 30120 40125=",
"04301099999","2017-01-02T18:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0229,1","-0280,1","10130,1","99999,9,10125,1",,"SYN04204301 46/// /2713 11229 21280 30125 40130=",
"04301099999","2017-01-02T19:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0241,1","-0288,1","10140,1","99999,9,10135,1",,"SYN04204301 46/// /2712 11241 21288 30135 40140=",
"04301099999","2017-01-02T20:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0249,1","-0294,1","10145,1","99999,9,10140,1",,"SYN04204301 46/// /2713 11249 21294 30140 40145=",
"04301099999","2017-01-02T21:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0250,1","-0286,1","10154,1","99999,9,10149,1",,"SYN04204301 46/// /2715 11250 21286 30149 40154=",
"04301099999","2017-01-02T22:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0251,1","-0290,1","10162,1","99999,9,10157,1",,"SYN04204301 46/// /2713 11251 21290 30157 40162=",
"04301099999","2017-01-02T23:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0254,1","-0299,1","10168,1","99999,9,10163,1",,"SYN04204301 46/// /2610 11254 21299 30163 40168=",
"04301099999","2017-01-03T00:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0253,1","-0296,1","10174,1","99999,9,10169,1",,"SYN04204301 46/// /2610 11253 21296 30169 40174=",
"04301099999","2017-01-03T01:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0260,1","-0292,1","10173,1","99999,9,10168,1",,"SYN04204301 46/// /2607 11260 21292 30168 40173=",
"04301099999","2017-01-03T02:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0263,1","-0309,1","10176,1","99999,9,10171,1",,"SYN04204301 46/// /2306 11263 21309 30171 40176=",
"04301099999","2017-01-03T03:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0255,1","-0298,1","10179,1","99999,9,10174,1",,"SYN04204301 46/// /2205 11255 21298 30174 40179=",
"04301099999","2017-01-03T04:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0248,1","-0281,1","10181,1","99999,9,10176,1",,"SYN04204301 46/// /2707 11248 21281 30176 40181=",
"04301099999","2017-01-03T05:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0235,1","-0264,1","10180,1","99999,9,10175,1",,"SYN04204301 46/// /2714 11235 21264 30175 40180=",
"04301099999","2017-01-03T06:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0237,1","-0266,1","10181,1","99999,9,10176,1",,"SYN04204301 46/// /2818 11237 21266 30176 40181=",
"04301099999","2017-01-03T07:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","290,1,N,0124,1","99999,9,9,N","999999,9,9,9","-0240,1","-0267,1","10188,1","99999,9,10183,1",,"SYN04204301 46/// /2924 11240 21267 30183 40188=",
"04301099999","2017-01-03T08:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","290,1,N,0118,1","99999,9,9,N","999999,9,9,9","-0237,1","-0264,1","10192,1","99999,9,10187,1",,"SYN04204301 46/// /2923 11237 21264 30187 40192=",
"04301099999","2017-01-03T09:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","290,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0235,1","-0262,1","10195,1","99999,9,10190,1",,"SYN04204301 46/// /2920 11235 21262 30190 40195=",
"04301099999","2017-01-03T10:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0240,1","-0269,1","10201,1","99999,9,10196,1",,"SYN04204301 46/// /2717 11240 21269 30196 40201=",
"04301099999","2017-01-03T11:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0240,1","-0270,1","10201,1","99999,9,10196,1",,"SYN04204301 46/// /2720 11240 21270 30196 40201=",
"04301099999","2017-01-03T12:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0235,1","-0264,1","10203,1","99999,9,10198,1",,"SYN04204301 46/// /2716 11235 21264 30198 40203=",
"04301099999","2017-01-03T13:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0239,1","-0266,1","10206,1","99999,9,10201,1",,"SYN04204301 46/// /2812 11239 21266 30201 40206=",
"04301099999","2017-01-03T14:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","300,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0245,1","-0273,1","10203,1","99999,9,10198,1",,"SYN04204301 46/// /3019 11245 21273 30198 40203=",
"04301099999","2017-01-03T15:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0252,1","-0280,1","10206,1","99999,9,10201,1",,"SYN04204301 46/// /2715 11252 21280 30201 40206=",
