DATE,TMP,DEW,SLP,WND_HD,WND_SPD
2018-01-01T00:00:00,"-0281","-0326","10137","220","0062"
2018-01-01T01:00:00,"-0269","-0315","10136","230","0046"
2018-01-01T02:00:00,"-0273","-0314","10130","210","0036"
2018-01-01T03:00:00,"-0255","-0292","10126","270","0026"
2018-01-01T04:00:00,"-0236","-0277","10121","260","0046"
2018-01-01T05:00:00,"-0239","-0275","10117","220","0031"
2018-01-01T06:00:00,"-0224","-0264","10112","250","0031"
2018-01-01T07:00:00,"-0217","-0254","10108","250","0041"
2018-01-01T08:00:00,"-0212","-0245","10107","270","0051"
2018-01-01T09:00:00,"-0207","-0240","10103","280","0067"
2018-01-01T10:00:00,"-0207","-0237","10102","280","0093"
2018-01-01T11:00:00,"-0207","-0237","10100","280","0098"
2018-01-01T12:00:00,"-0217","-0246","10099","270","0077"
2018-01-01T13:00:00,"-0209","-0239","10096","280","0077"
2018-01-01T14:00:00,"-0210","-0237","10096","280","0088"
2018-01-01T15:00:00,"-0218","-0243","10096","280","0077"
2018-01-01T16:00:00,"-0230","-0256","10095","280","0103"
2018-01-01T17:00:00,"-0231","-0257","10094","280","0103"
2018-01-01T18:00:00,"-0232","-0259","10097","280","0088"
2018-01-01T19:00:00,"-0232","-0259","10098","280","0103"
2018-01-01T20:00:00,"-0237","-0266","10098","280","0103"
2018-01-01T21:00:00,"-0240","-0270","10103","280","0103"
2018-01-01T22:00:00,"-0243","-0273","10107","280","0108"
2018-01-01T23:00:00,"-0239","-0268","10108","280","0108"
2018-01-02T00:00:00,"-0242","-0271","10109","290","0113"
2018-01-02T01:00:00,"-0245","-0275","10105","290","0108"
2018-01-02T02:00:00,"-0246","-0274","10110","280","0093"
2018-01-02T03:00:00,"-0248","-0276","10109","280","0103"
2018-01-02T04:00:00,"-0246","-0273","10110","280","0098"
2018-01-02T05:00:00,"-0253","-0281","10113","270","0082"
2018-01-02T06:00:00,"-0250","-0278","10114","270","0077"
2018-01-02T07:00:00,"-0253","-0283","10116","280","0093"
2018-01-02T08:00:00,"-0251","-0281","10117","280","0088"
2018-01-02T09:00:00,"-0257","-0286","10120","280","0088"
2018-01-02T10:00:00,"-0261","-0290","10126","270","0062"
2018-01-02T11:00:00,"-0263","-0292","10126","270","0062"
2018-01-02T12:00:00,"-0260","-0289","10127","280","0067"
2018-01-02T13:00:00,"-0259","-0288","10129","260","0036"
2018-01-02T14:00:00,"-0262","-0291","10130","250","0031"
2018-01-02T15:00:00,"-0265","-0294","10131","260","0041"
2018-01-02T16:00:00,"-0264","-0296","10129","260","0051"
2018-01-02T17:00:00,"-0278","-0307","10131","230","0026"
2018-01-02T18:00:00,"-0279","-0309","10134","260","0031"
